שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
,"בי""ס שפת אמת",שפת אמת 5,,,על יסודי,,,31.786400128862663,35.213582804366375,"שפת אמת 5, ירושלים",,,"נחלאות - לב העיר, מקלט בבית ספר"
,"בי""ס סלואן יסודי מעורב",בטן אל הווא 2,,,יסודי,,,31.770731635422024,35.238599276177574,"בטן אל הווא 2, ירושלים",,,"סילוואן, מקלט בבית ספר"
,"בי""ס סלואן מכין בנות",בטן אל הווא 3,,,יסודי,,,31.770758999156094,35.238695835706075,"בטן אל הווא 3, ירושלים",,,"סילוואן, מקלט בבית ספר"
,"בי""ס ראס אלעמוד מקיף בנים",אל-סוויח 15,,,על יסודי,,,31.768209325697836," 35.24306809152376","אל-סוויח 15, ירושלים",,,"סילוואן, ראס אל עמוד, מקלט בבית ספר"
,"בי""ס באר יהודה",חכם עזרא עטיה 4,,,על יסודי,,,31.800993992292952,35.21593028650754,"חכם עזרא עטיה 4, ירושלים",,,"סנהדריה, מקלט בבית ספר"
,"בי""ס בית עולות (תיכון טכנולוגי)",מעגלי הרים לוין 29,,,על יסודי,,,31.803306923331792,35.21654099999979,"מעגלי הרים לוין 29, ירושלים",,,"סנהדריה, מקלט בבית ספר"
,ישיבה תיכונית חורב,הרב בן ציון אטון 2,,,על יסודי,,,31.800742468144662,35.21550690546893,"הרב בן ציון אטון 2, ירושלים",,,"סנהדריה, מקלט בבית ספר"
,"בי""ס נתיבות יעקב",סנהדריה מורחבת 112,,,על יסודי,,,31.803619460455124,35.21634564956339,"סנהדריה מורחבת 112, ירושלים",,,"סנהדריה, מקלט בבית ספר"
,בית ספר צפון,מעגלי הרים לוין 25,,,יסודי,,,31.803371470895502,35.21631634733938,"מעגלי הרים לוין 25, ירושלים",,,"סנהדריה, מקלט בבית ספר"
,אלעיסוויה תיכון בנים,טריק אל מדארס סמטה 1 9,,,על יסודי,,,31.798700644023274,35.254589766948925,"טריק אל מדארס סמטה 1 9, ירושלים",,,"עיסוויה, מקלט בבית ספר"
,"בי""ס מקיף עיסאוויה לבנות",טריק אל מדארס 10,,,על יסודי,,,31.798632632667303,35.25461874402664,"טריק אל מדארס 10, ירושלים",,,"עיסוויה, מקלט בבית ספר"
,"סילואן בי""ס יסודי החדש",טריק אל מדארס 17,,,יסודי,,,31.79869152553709,35.25458977617611,"טריק אל מדארס 17, ירושלים",,,"עיסוויה, מקלט בבית ספר"
,"עיסאוויה בי""ס חטיבת ביניים לבנים",טריק אל מדארס 14,,,על יסודי,,,31.79875535493318,35.25458977617611,"טריק אל מדארס 14, ירושלים",,,"עיסוויה, מקלט בבית ספר"
,אולפנת בני עקיבא ליבי (אולפנת בני עקיבא פסגת זאב),משה רחמילביץ 1,,,על יסודי,,,31.822418916380702,35.238062182294065,"משה רחמילביץ  1, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בית ספר מ""מ פסגת זאב מרכז א מדעים טכנולוגי",השישה עשר 19,,,יסודי,,,31.828549265291407,35.24286046313919,"השישה עשר 19, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בית ספר מ""מ פסגת המדעים והאומנויות- מזרח א",מאיר גרשון 19,,,יסודי,,,"31.819424068955716 ",35.24432792081149,"מאיר גרשון 19, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בית ספר מ""מ פסגת זאב מערב ע""ש מרדכי איש שלום-של""ב",שמואל תמיר (כצנלסון) 74,,,יסודי,,,31.82116483890379,35.23696309988057,"שמואל תמיר (כצנלסון) 74, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בית ספר מ""מ תל""י פסגת זאב צפון מתמטי",מזל טלה 11,,,יסודי,,,31.83613042567869,35.23556580546701,"מזל טלה 11, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"ביס ממ""ד פסגת - דוד",השישה עשר 34,,,יסודי,,,31.829114083548298,35.24564185853017,"השישה עשר 34, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בי""ס ממ""ד נועם בנים-פסגת זאב מזרח",יצחק טוניק 21,,,יסודי,,,31.820403052539884,35.25281684860408,"יצחק טוניק 21, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בי""ס ממ""ד ""השחר"" (תורני פסגת זאב מזרח)",מאיר גרשון 26,,,יסודי,,,31.819139308554753,35.246713659702635,"מאיר גרשון 26, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
